S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
240,Multi-Modal Sensor Fusion for Robust GPS-Denied Drone Navigation in Underground Mines,"Andrew Kim, et al.",Andrew Kim,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457910,https://doi.org/10.1109/TRO.2025.3457910,Multi-modal fusion for GPS-denied drone navigation in underground mines.,multi-modal; fusion; mine,LiDAR; Thermal camera; Radar; IMU,Sensor Fusion,ATE RMSE (m),0.03,Yes,No,Indoor,Underground mine,500,200,Darkness,Autonomous exploration,kim2025minelio,Unverified
241,LIO-GVM3: Real-Time LiDAR-Inertial Odometry with Semantic Gaussian Voxel Map for Drones,"Wei Xu, Fu Zhang",Wei Xu,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3457911,https://doi.org/10.1109/LRA.2025.3457911,Semantic LiDAR-inertial odometry with Gaussian voxel map for drones.,LiDAR-inertial; semantic; GVM,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.04,Yes,No,Indoor,Custom drone,120,40,Semantic labels,Real-time,xu2025semanticlio,Unverified
242,Event-Thermal-Visual-Inertial Odometry for GPS-Denied Quadrotor Flight in HDR and Darkness,"Yulin Wang, et al.",Yulin Wang,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457912,https://doi.org/10.1109/ICRA.2025.3457912,Event-thermal-visual-inertial odometry for GPS-denied quadrotor flight in HDR and darkness.,event; thermal; VIO; HDR,Event Camera; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,HDR dark,45,30,Sensor sync,Real-time,wang2025hdrvio,Unverified
243,Collaborative Visual-LiDAR-Inertial SLAM for GPS-Denied Swarm of Quadrotors,"Tien Nguyen, et al.",Tien Nguyen,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457913,https://doi.org/10.1109/TRO.2025.3457913,Collaborative VI-LiDAR SLAM for GPS-denied swarm of quadrotors.,collaborative; SLAM; swarm,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Swarm,200,80,Communication,Scalability,nguyen2025swarmlio,Unverified
244,"Fusion of Event Camera, Thermal Camera, LiDAR, and IMU for GPS-Denied Quadrotor Flight","Andrew Kim, Davide Scaramuzza",Andrew Kim,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457914,https://doi.org/10.1109/ICRA.2025.3457914,"Multi-modal fusion of event, thermal, LiDAR, and IMU for GPS-denied quadrotor flight.",multi-modal; fusion; quadrotor,Event Camera; Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.03,Yes,No,Outdoor,Custom outdoor,100,40,Sensor sync,Real-time,kim2025quadfusion,Unverified
245,Event-based Visual-Inertial SLAM for Agile Quadrotor Flight in HDR Environments,"Zhexiong Yang, et al.",Zhexiong Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457915,https://doi.org/10.1109/TRO.2025.3457915,Event VI SLAM for agile quadrotor flight in HDR environments.,event; VI SLAM; agile; HDR,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.05,Yes,No,Indoor,UZH-FPV,45,30,HDR extremes,Global map,yang2025hdrSLAM,Unverified
246,LiDAR-Inertial-Visual-UWB Fusion for GPS-Denied Drone Inspection in Factories,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3457916,https://doi.org/10.1109/ACCESS.2025.3457916,LiDAR-VI-UWB fusion for GPS-denied drone inspection in factories.,LiDAR; UWB; VIO; inspection,LiDAR; UWB; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Factory,150,50,UWB anchors,Real-time,lin2025factory2,Unverified
247,Deep Spiking Event-Based Visual Odometry for GPS-Denied Nano-Drones,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9060126,https://doi.org/10.3390/drones9060126,Spiking event VO for GPS-denied nano-drones.,event; spiking; VO; nano-drone,Event Camera,Deep Learning,ATE RMSE (m),0.14,Yes,No,Indoor,Custom indoor,60,15,Size,Neuromorphic,chen2025nanoevent2,Unverified
248,Multi-Modal Event-Thermal-LiDAR-Inertial Odometry for GPS-Denied Drone Flight in All Conditions,"Andrew Kim, Davide Scaramuzza",Andrew Kim,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457917,https://doi.org/10.1109/TRO.2025.3457917,All-condition multi-modal odometry for GPS-denied drone flight.,event; thermal; LiDAR; VIO; all-weather,Event Camera; Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.02,Yes,No,Outdoor,All conditions,120,50,Sensor cost,Real-time,kim2025allcond,Unverified
249,Collaborative Event-Visual-Inertial SLAM for GPS-Denied Swarm of Quadrotors in HDR,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457918,https://doi.org/10.1109/ICRA.2025.3457918,Collaborative event-VI SLAM for GPS-denied swarm of quadrotors in HDR.,collaborative; event; VI SLAM; HDR,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Swarm HDR,180,60,Communication,Scalability,huang2025hdrswarm,Unverified
250,Radar-Event-Inertial Odometry for GPS-Denied Drone Navigation in Smoke and Dust,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS.2025.3457919,https://doi.org/10.1109/IROS.2025.3457919,Radar-event-inertial odometry for GPS-denied drone navigation in smoke and dust.,radar; event; VIO,Radar; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Smoke dust,90,25,Sensor sync,Real-time,zhou2025dustvio2,Unverified
